"","t-statistic","p-value","p-adj"
"232252_at",-2.47338867601221,0.0146702733066126,0.0190340579935796
"217258_x_at",2.48121812027612,0.014739562265619,0.0191077644611877
"204602_at",2.49271720233637,0.0149139484141448,0.0193174746379489
"211637_x_at",2.47088099960844,0.0152462851414037,0.0197312447603458
"206619_at",-2.45918753523035,0.0152680927124438,0.0197427786678644
"218990_s_at",2.48530404807866,0.0152834440089905,0.0197459517111936
"210393_at",-2.45169377980494,0.0159216736842805,0.0205531892163857
"229288_at",2.4600688471087,0.0161833392854933,0.0208733719006657
"206757_at",2.44552362405946,0.0167779746135056,0.0216221204825565
"217546_at",2.41939831218854,0.017030224824096,0.0219287419728267
"211470_s_at",-2.41458798825672,0.0172716242673018,0.022220888027932
"219312_s_at",2.40074599120362,0.0177563061203924,0.0228252768012769
"230831_at",2.39977007305107,0.0179901675336014,0.02310649873653
"206442_at",-2.39064365841815,0.0185285958863694,0.0237781058692637
"205916_at",-2.38242422902707,0.0187160037598165,0.0239984939332321
"223646_s_at",-2.38362764199129,0.0189133905619186,0.0242312978663576
"211633_x_at",2.38453390582307,0.0190667354857124,0.024407334472095
"211506_s_at",2.37998723919515,0.0191737627661587,0.0245238352506174
"209309_at",-2.38200989513432,0.0192597296249064,0.0246132270915957
"223761_at",2.39045918185531,0.0193492378668295,0.024706991804934
"244042_x_at",-2.36314357597123,0.019582182998037,0.0249836018083289
"238022_at",-2.36003076063757,0.0202199900331337,0.0257758574027708
"205927_s_at",-2.3453035258792,0.0212491341976846,0.0270652449722588
"1558930_at",2.34630034202344,0.0213636882744164,0.0271885342877236
"1554997_a_at",2.33194354465726,0.0218543017227402,0.0277898139015908
"205544_s_at",2.33631391105314,0.0219877991801897,0.0279363655974028
"228233_at",2.31965937735465,0.0222019105324814,0.0281850124587306
"204410_at",-2.30908669905149,0.022765354396993,0.0288763525946946
"209728_at",2.31521053965179,0.0229255531802562,0.0290554817210035
"216510_x_at",2.308334811385,0.0230188138729332,0.0291495484197359
"232056_at",2.31393836641804,0.0232616715103688,0.0294327430432848
"236694_at",-2.30019280910561,0.0233350219137967,0.029501171387302
"236918_s_at",-2.29504375830188,0.0233664569261087,0.0295165392358683
"202376_at",2.28498709927678,0.0245046963475961,0.0309288459259436
"225619_at",-2.2743892415956,0.0245672140754587,0.0309822114905497
"216853_x_at",2.27657643448348,0.0248330039090611,0.0312916287940515
"237625_s_at",2.2757761363515,0.0253465928323481,0.0319125276532277
"231899_at",-2.25906977580302,0.0255408426823897,0.0321306739085773
"216491_x_at",2.26764441061625,0.0255952720712957,0.032172710624921
"205910_s_at",2.26182220460233,0.0263079880091398,0.0330414517161551
"1555890_at",-2.24659240512738,0.0264091262379886,0.0331159518440483
"228033_at",-2.2584811082712,0.0264105664282057,0.0331159518440483
"221132_at",-2.22153134286669,0.0282366708075243,0.035376712771129
"213714_at",-2.21216728806402,0.0291582874332237,0.0365015029110919
"204748_at",2.21140627261305,0.0292214813299792,0.0365507254217305
"216576_x_at",2.20365801062119,0.0296982379092589,0.0371167365216942
"211645_x_at",2.20143194363739,0.0298871322062554,0.0373223486197202
"203946_s_at",-2.18378166678697,0.0310641432775656,0.038760556933947
"214768_x_at",2.18545660268715,0.0311728071168109,0.0388644688076852
"1552283_s_at",-2.18077002479071,0.0313237899343881,0.0390209295277039
"1553970_s_at",2.17064688394819,0.0327643719157883,0.0407823198398958
"219732_at",-2.15843935229492,0.0328071833745767,0.0408024352124102
"214146_s_at",2.14981162295755,0.0338641487714486,0.0420828017606233
"216401_x_at",2.14229064730498,0.0343998145727818,0.0427138005765848
"235947_at",-2.14004766784529,0.0347158412266244,0.0430712746498881
"239381_at",2.13162409031803,0.0361117996324832,0.0447669354148435
"211122_s_at",2.11710825033382,0.0367315757531529,0.0454984162443989
"213172_at",2.11203986126116,0.0373879238975953,0.0462739785668702
"206859_s_at",2.11930576521434,0.0382361592992448,0.0472855895695831
"205778_at",2.06484722127314,0.0421347827756631,0.0520648526469251
"233011_at",2.06092122228094,0.0429120665640072,0.0529825596044315
"212592_at",-2.03937173369632,0.0436285482101194,0.0538237770424599
"240042_at",-2.03658542688963,0.0438120954984039,0.054006697429997
"244774_at",2.0457665769248,0.0439691789209139,0.0541567280192431
"206336_at",2.0439059526992,0.0441386657509556,0.0543217823671326
"209480_at",2.02567905218556,0.0456272506960757,0.0561086914182264
"214777_at",2.01855375921114,0.046143304355206,0.0566977519805942
"230760_at",-2.01186009445618,0.0466858545363543,0.0573183987932305
"1553808_a_at",2.01929037881911,0.0469573425498714,0.0576055219902669
"222257_s_at",-2.0054722597192,0.0472680731259392,0.0579402881952065
"204475_at",2.01008947652856,0.0473416479817852,0.0579840504480905
"204409_s_at",-2.00046305858388,0.0479402166675122,0.0586233799664227
"214131_at",-2.00157510700921,0.0479258796786563,0.0586233799664227
"215014_at",1.98147328837041,0.0503354142519219,0.0615032076773283
"217281_x_at",1.9798067229547,0.050444640018664,0.0615875150467102
"1552767_a_at",1.9624750836318,0.0520277324656774,0.0634696879720734
"229667_s_at",-1.95179780892922,0.0533477568017307,0.0650281971842752
"217179_x_at",1.94614411463433,0.0544100290641244,0.0662702899738858
"239272_at",-1.93905842989018,0.0548959827155635,0.0668090218899266
"206172_at",-1.93373174041514,0.0553776793679824,0.0673417212965696
"226907_at",-1.9265756127119,0.0564405078145033,0.0685796964000036
"211207_s_at",-1.92657548881363,0.0565969904093401,0.0687152992202218
"1556194_a_at",-1.9199396876651,0.0572754937558208,0.0694839785579727
"224009_x_at",-1.92129728895487,0.0573331899516634,0.0694989024671391
"206354_at",-1.92105890287139,0.0574246367397016,0.0695546826332936
"215894_at",-1.91651665144897,0.0575392489624566,0.0696384111948783
"231120_x_at",-1.91237487451518,0.0581218002921762,0.070287895929954
"214455_at",1.91889316463363,0.0583674257083874,0.0705292255402851
"223952_x_at",-1.90648984368556,0.0592893277679772,0.0715867198838904
"242871_at",-1.8947496013394,0.0604949970355447,0.0729849018608502
"230030_at",1.8913858772076,0.0609963689378779,0.0735195265893843
"242967_at",-1.88977680597118,0.0610341726290708,0.0735195265893843
"206033_s_at",-1.87990404103359,0.0623330093367454,0.0750250293196205
"227450_at",-1.87719962780897,0.0631182136964752,0.0759104361110004
"214973_x_at",1.86043886711122,0.0656523253144251,0.0788961617397055
"216829_at",1.85728534008345,0.0664180261019756,0.0797537238918624
"209016_s_at",1.85930510996134,0.0670695064312032,0.0804728952556208
"214974_x_at",1.83598236759364,0.0693803040343,0.0831803018610127
"206032_at",-1.82950985148798,0.0695801411081399,0.0833546134871379
