"","t-statistic","p-value","p-adj"
"219857_at",-4.73189295570778,6.48569221432848e-06,2.19185198147802e-05
"230121_at",4.78392708403373,6.49009210311299e-06,2.19301533546174e-05
"205593_s_at",-4.76870117824823,6.50471783215321e-06,2.19763316875358e-05
"203222_s_at",-4.70281944140788,6.51561314181872e-06,2.20098949538458e-05
"202454_s_at",-4.81597622224264,6.5522749513793e-06,2.21304753298098e-05
"202281_at",-4.7286507389119,6.56565330616733e-06,2.21723912815026e-05
"1560512_at",-4.72925548120463,6.56774045077971e-06,2.21761697691593e-05
"230424_at",4.78198670253811,6.59752799716147e-06,2.22734645812189e-05
"208654_s_at",-4.78092224431819,6.62206445988093e-06,2.23530055010542e-05
"203258_at",4.75321915114444,6.6326813146435e-06,2.23855437885765e-05
"210779_x_at",-4.70513956691832,6.63584548952057e-06,2.23921819928366e-05
"213189_at",-4.72903585449028,6.63660356142754e-06,2.23921819928366e-05
"224212_s_at",4.76942403754458,6.65563155997088e-06,2.24530755071458e-05
"1566079_at",4.79604542793239,6.65700750928138e-06,2.24544098652535e-05
"233614_at",4.887967676966,6.66303608970434e-06,2.24714350703134e-05
"234158_at",-4.7175396186553,6.67192269827129e-06,2.24980926911819e-05
"207038_at",4.83416163479822,6.67627439397908e-06,2.25088445615991e-05
"209301_at",-4.71373335648908,6.67707680004822e-06,2.25088445615991e-05
"207838_x_at",4.77597224745876,6.69434177338288e-06,2.25637247440454e-05
"238228_at",-4.7043380884717,6.70909430538612e-06,2.26101216710209e-05
"201931_at",-4.72390603002483,6.71133973549354e-06,2.2614361330294e-05
"200744_s_at",4.69753477242207,6.71737385795388e-06,2.26313641466193e-05
"229490_s_at",-4.74517383151141,6.72657468562775e-06,2.26590292726772e-05
"236378_at",-4.69664638956436,6.74356137716995e-06,2.27129097384299e-05
"1555846_a_at",-4.73288205295616,6.75525714550043e-06,2.27489566833402e-05
"217972_at",-4.73868937377136,6.76570627210536e-06,2.27807954645735e-05
"235004_at",4.78922710728743,6.77842914601954e-06,2.28202796900317e-05
"212327_at",4.69321934002453,6.79995268808236e-06,2.28893763102808e-05
"218936_s_at",-4.72757453334007,6.86032882036323e-06,2.30892154258309e-05
"204004_at",-4.69937200900666,6.86610622951438e-06,2.31052646157167e-05
"214303_x_at",-4.68529830327866,6.86839577217198e-06,2.31088098840499e-05
"215884_s_at",4.70289470049125,6.86917773613116e-06,2.31088098840499e-05
"225527_at",-4.71513849131113,6.92113907355106e-06,2.32801950655808e-05
"208760_at",4.73646131323815,6.93753941306178e-06,2.33319332125336e-05
"231878_at",-4.71025604123009,6.97238156044742e-06,2.34456694874361e-05
"209050_s_at",4.69982100647763,6.98349045427468e-06,2.34763908398426e-05
"225841_at",-4.70450105876936,6.98356768946633e-06,2.34763908398426e-05
"241731_x_at",-4.69947949014626,6.987078613835e-06,2.34847463300063e-05
"219454_at",4.77033980685077,7.00088214374104e-06,2.35276894700075e-05
"217791_s_at",-4.70195037752143,7.00325639226084e-06,2.35322155445936e-05
"217809_at",-4.78167871965511,7.00831473367066e-06,2.3542304538759e-05
"226381_at",-4.73440556353433,7.00820728382422e-06,2.3542304538759e-05
"203920_at",4.70147613725281,7.01283326389848e-06,2.35540284855649e-05
"219023_at",-4.70573340857427,7.03304135189385e-06,2.36184378419978e-05
"209974_s_at",-4.69819153397608,7.04111931469899e-06,2.3642098763312e-05
"219796_s_at",-4.7044854779972,7.06043527081053e-06,2.37034812382547e-05
"224806_at",-4.74116162795965,7.09408888032735e-06,2.38129734172852e-05
"223753_s_at",-4.67889209839268,7.0985475812257e-06,2.38244483078564e-05
"238867_at",-4.69361588763634,7.10220399058602e-06,2.38332275452589e-05
"211971_s_at",-4.72812766241149,7.13721921481677e-06,2.39472211656825e-05
"229436_x_at",-4.71520371388988,7.13949557424605e-06,2.39513501006236e-05
"220915_s_at",-4.67534929157843,7.15484020161897e-06,2.39993124103221e-05
"207017_at",-4.74886049296281,7.16474252253442e-06,2.40290083458201e-05
"212421_at",4.70007206950956,7.18076295567135e-06,2.40792114163603e-05
"201518_at",4.677890238723,7.20743464289874e-06,2.4165111349189e-05
"232570_s_at",4.85143896131646,7.21121540423799e-06,2.41742485953253e-05
"210082_at",-4.69599718483621,7.21546256147834e-06,2.4184946443076e-05
"209410_s_at",4.71736738049084,7.22167122398474e-06,2.42022148145921e-05
"240480_at",-4.68041396052954,7.22931505300289e-06,2.42242871483431e-05
"209464_at",-4.72866663208678,7.23924336501359e-06,2.4254006844486e-05
"208676_s_at",-4.74135312265424,7.24826300542524e-06,2.42806739232491e-05
"201613_s_at",-4.71612921206767,7.2595063587189e-06,2.43147812421379e-05
"235094_at",4.73642089078608,7.26400237785476e-06,2.43262825647036e-05
"242344_at",-4.70014076939574,7.28949257625686e-06,2.44080772622823e-05
"206268_at",-4.7807733010357,7.31272747819678e-06,2.44822975344454e-05
"205619_s_at",4.82956340506128,7.35276437242796e-06,2.46127393191636e-05
"203288_at",4.69993952452061,7.38154127936516e-06,2.47054566595499e-05
"242445_at",-4.6950373598514,7.39702891648539e-06,2.47536752300212e-05
"228922_at",-4.67672664153211,7.40340579385435e-06,2.47713956021397e-05
"218785_s_at",-4.67372121988382,7.41803966597407e-06,2.48167342199538e-05
"229886_at",-4.67220545424451,7.4303114640093e-06,2.48541585307733e-05
"230194_at",-4.6875974689177,7.48170737416988e-06,2.50224217276012e-05
"200843_s_at",-4.67433516286277,7.54419427584439e-06,2.52277239742538e-05
"218073_s_at",-4.71910480225827,7.56362609783505e-06,2.52890114625863e-05
"217336_at",-4.7054888921172,7.57824983332417e-06,2.53342075511055e-05
"219368_at",4.85114235011379,7.58152203014517e-06,2.53414476147716e-05
"1555895_at",-4.6857575813512,7.58702248743829e-06,2.53561325010651e-05
"225877_at",-4.7332304439048,7.5966524049806e-06,2.53846119100191e-05
"243993_at",4.7492487264165,7.60392460696997e-06,2.5405205729166e-05
"231154_x_at",-4.67832096316351,7.61759652565745e-06,2.54471722910053e-05
"231940_at",4.66040215511139,7.62640783657365e-06,2.54728917428972e-05
"225759_x_at",-4.68141392790291,7.64416262325992e-06,2.55284713561566e-05
"206097_at",-4.70677912547733,7.69559236582159e-06,2.56964793635241e-05
"244780_at",-4.7097201345009,7.69865071942772e-06,2.57029442313489e-05
"203775_at",-4.70083233458721,7.72145505320263e-06,2.57753221226497e-05
"222664_at",4.66203932894139,7.73910805355002e-06,2.58304855363533e-05
"200760_s_at",4.70918772502134,7.7602200821511e-06,2.58971762409306e-05
"213198_at",-4.67313490307884,7.79204688619256e-06,2.59995993348584e-05
"1552914_a_at",4.73129274355032,7.82244796862628e-06,2.60934351624596e-05
"233984_at",-4.66990294862171,7.82225626776332e-06,2.60934351624596e-05
"225243_s_at",4.78437214929512,7.83929080695757e-06,2.61458100119046e-05
"225233_at",-4.69172929066611,7.85897457601199e-06,2.62076433771698e-05
"229597_s_at",4.66563602972641,7.92942108438066e-06,2.64366269491819e-05
"232034_at",4.73469694828512,7.92994922677728e-06,2.64366269491819e-05
"229068_at",-4.71405013387783,7.95712321165073e-06,2.65233580143264e-05
"1563692_at",-4.66049201767184,7.96161204062308e-06,2.65344587552955e-05
"206022_at",4.85675213970375,7.96519668418775e-06,2.65425432355525e-05
"219844_at",-4.6791928520173,7.96790303517773e-06,2.65476990419953e-05
"209181_s_at",-4.70108250677863,7.9733226572144e-06,2.65618921917355e-05
"205774_at",-4.70657978446541,8.00855806375366e-06,2.66753934459206e-05
"203794_at",4.71098957322307,8.01409377527552e-06,2.66899505213226e-05
"242181_at",4.78277657488166,8.02023639709439e-06,2.67041245741018e-05
"243050_at",4.7502920790974,8.0206816986965e-06,2.67041245741018e-05
"36830_at",-4.67494435698108,8.02488316067675e-06,2.67142295100261e-05
"211057_at",4.69929301458993,8.03289886009581e-06,2.67370269717736e-05
"204304_s_at",-4.76481329186103,8.06052118575112e-06,2.68250678170965e-05
"227046_at",-4.68982615642264,8.06675089391113e-06,2.68418997128064e-05
"208864_s_at",-4.73542760856078,8.06837021868709e-06,2.68433880183891e-05
"1553319_at",-4.65457265886587,8.07863707254799e-06,2.68736419567998e-05
"202265_at",4.6707924375572,8.0815083637068e-06,2.6879289290441e-05
"228548_at",4.75171536298003,8.08584059257291e-06,2.68897933921442e-05
"227692_at",4.66577421487328,8.10768191737437e-06,2.69585132046494e-05
"209970_x_at",-4.64928121057342,8.12074643319626e-06,2.69980339032507e-05
"1555725_a_at",4.77157334564465,8.13488620816143e-06,2.70411173912222e-05
"210915_x_at",4.6646554378653,8.16691897369836e-06,2.71436577063726e-05
"232331_at",-4.68229967260977,8.1730254900417e-06,2.71600120137007e-05
"243862_at",-4.68663454761779,8.18459619386723e-06,2.71945171374062e-05
"220753_s_at",-4.66781250709798,8.20224065706037e-06,2.72491902768572e-05
"210014_x_at",-4.67756665454881,8.2050569721476e-06,2.72545931592598e-05
"206994_at",4.74311368531805,8.20731308455823e-06,2.72581339291817e-05
"217187_at",-4.64324421768862,8.22184128960322e-06,2.73024258454085e-05
"237137_at",-4.64185479312408,8.24677485805488e-06,2.73812532000625e-05
"212379_at",-4.70469077943607,8.27200093190559e-06,2.74570488903527e-05
"229150_at",-4.67681302056454,8.27083611035418e-06,2.74570488903527e-05
"235948_at",-4.68562902703849,8.28352425063503e-06,2.74913137099397e-05
"218041_x_at",4.67842612780401,8.30937238016424e-06,2.75731028140976e-05
"237591_at",-4.63879172007954,8.33396200133834e-06,2.76506927012389e-05
"220459_at",-4.66411560290851,8.35520809969314e-06,2.77171684686084e-05
"218589_at",4.67161474719335,8.36361505445214e-06,2.77410391878519e-05
"242600_at",-4.64502422417505,8.37394592347778e-06,2.77712834470622e-05
"205030_at",-4.64298400335689,8.37779472845245e-06,2.77800249986603e-05
"209791_at",-4.64834861210985,8.3872724566797e-06,2.78074263282188e-05
"266_s_at",-4.82066650938078,8.41476800821189e-06,2.78945479363261e-05
"204730_at",-4.67436865782164,8.4297941820461e-06,2.7940314927844e-05
"212328_at",4.63996637695851,8.43708545671741e-06,2.79604352792937e-05
"213499_at",-4.66835120638145,8.44587660914247e-06,2.79855196729152e-05
"230165_at",-4.67869019455611,8.46683562953102e-06,2.8050909362527e-05
"205874_at",-4.67603780404781,8.47019427150096e-06,2.8057977928867e-05
"226863_at",-4.76060188650921,8.48675990881182e-06,2.81087870125115e-05
"218969_at",-4.68209021029657,8.51571091133783e-06,2.82005967325579e-05
"203728_at",-4.69058981599763,8.54992587766112e-06,2.83098095093354e-05
"221634_at",4.66720114445369,8.55521016596819e-06,2.83232116841818e-05
"207251_at",-4.65633082720916,8.55971164851798e-06,2.8334018772367e-05
"206987_x_at",4.69669106359773,8.56756330399974e-06,2.83559107444373e-05
"205088_at",4.69100771938047,8.58502223972011e-06,2.84095888392298e-05
"208796_s_at",-4.65085574508331,8.60037177210934e-06,2.84562719873765e-05
"225220_at",-4.64714223738493,8.60683347896186e-06,2.84735385192349e-05
"222473_s_at",4.63191768156677,8.62709489887869e-06,2.85364463415683e-05
"203177_x_at",-4.68978534425209,8.63080693722556e-06,2.85446023513757e-05
"225142_at",-4.67728244125263,8.67858210553433e-06,2.86984646207122e-05
"226494_at",-4.71860766784169,8.6815034505513e-06,2.87005812874255e-05
"227213_at",-4.68995984299448,8.68172847047478e-06,2.87005812874255e-05
