"ID","statistic","p_value","p_adjust"
"1555731_a_at",2.09540617570549,0.0387211852203968,0.0622576986776205
"202598_at",-2.0898815791305,0.0387190311027549,0.0622576986776205
"244187_at",2.0942005344818,0.0387210840053875,0.0622576986776205
"224743_at",-2.08823764139095,0.03880072451667,0.0623811999786462
"206205_at",2.08915577709537,0.0388150173383071,0.0623997923890821
"212182_at",2.08782020502949,0.038821119010171,0.0624052148564427
"227897_at",-2.08805903939952,0.0388631632817139,0.0624684104760189
"219103_at",-2.08628502380765,0.0389526320263475,0.0626078216629817
"229422_at",-2.0874020210343,0.0389932510263096,0.0626687035117147
"200769_s_at",2.08623699106132,0.0390220614272286,0.0627105997358385
"201997_s_at",-2.08606450258144,0.0390583202406899,0.0627644592400631
"205165_at",2.08541367273346,0.0390754012483406,0.0627874957176667
"208811_s_at",-2.08347975928074,0.0391983087158729,0.0629805620578904
"244046_at",2.08434313222084,0.0392109336346238,0.0629964209500419
"217503_at",-2.09103601181089,0.039232737947847,0.0630270242250112
"205286_at",-2.08468840931352,0.0392507773392062,0.0630515753141565
"219124_at",2.08667651244997,0.0392777638533257,0.0630904944040988
"243410_at",-2.08380498587593,0.0392836967094549,0.0630955926501323
"243908_at",-2.08214837848004,0.0393231197285429,0.0631544766988606
"201711_x_at",2.08220927725739,0.039340905740523,0.063178605033759
"209615_s_at",2.08223881944629,0.0394062816964034,0.0632791505685119
"227536_at",-2.08268631346465,0.0394116124866307,0.0632832673993712
"213136_at",2.08157967619126,0.0394511591826731,0.0633423203108491
"218019_s_at",2.08367224118685,0.0394880294228775,0.0633970679467328
"217299_s_at",-2.08032291734066,0.039546032062404,0.0634857330666278
"1556732_at",-2.08458097249099,0.0395504434249595,0.0634883583300923
"231183_s_at",-2.07972436647966,0.0395563724867476,0.0634934193410947
"215729_s_at",-2.09358792385202,0.0396489860337714,0.0636376104001932
"230098_at",-2.07927864540212,0.0396668503338041,0.0636618152374807
"218746_at",2.07875748248494,0.0396895588245086,0.0636937906333949
"212155_at",-2.07968710210093,0.0397194048250994,0.0637372150119298
"219531_at",2.07967010489361,0.0397225519784054,0.063737793008218
"1559491_at",2.07814765506927,0.0397923502211665,0.0638441623747747
"1560275_at",2.07829030197183,0.0397944265261221,0.0638441623747747
"203664_s_at",2.07905631618968,0.0398053553300867,0.0638572163579603
"242967_at",2.07758160947766,0.0398122813706208,0.0638638475798624
"229650_s_at",2.07704201985319,0.0398628985964597,0.0639405590476247
"242865_at",-2.07896628231767,0.0398989847116482,0.0639939533175814
"213897_s_at",2.07785434400898,0.0399118446734816,0.0640100903003173
"219882_at",-2.07577921068171,0.0399826177360503,0.0641163045697597
"227172_at",2.07558156036484,0.0399836788707439,0.0641163045697597
"238642_at",-2.0760939789338,0.0400085029352317,0.0641516134143412
"214074_s_at",-2.07517049924451,0.0401079893091045,0.0643066261567037
"1569349_at",2.07366915000661,0.040117436071682,0.0643172634391425
"208424_s_at",2.07694139842324,0.0401391555823775,0.0643475738237048
"213007_at",2.0749450227381,0.0401642756156392,0.0643763188792602
"223414_s_at",2.07411520566773,0.0401655310051667,0.0643763188792602
"244801_at",-2.0747826459122,0.0401599658360935,0.0643763188792602
"200988_s_at",2.07287568373521,0.0401969025099732,0.0644220855222907
"236220_at",-2.07536639416613,0.0402142706870018,0.0644454047096721
"218984_at",2.07316473444978,0.0403182823461425,0.0646075614669478
"219442_at",2.0711216370509,0.0403779473582334,0.0646986377133607
"213502_x_at",-2.0719751479001,0.0404183228157596,0.06475879520782
"227621_at",-2.07165214018024,0.0404396400883506,0.0647884111257848
"223539_s_at",2.0700497565352,0.0404772483544132,0.0648441208927872
"1552902_a_at",-2.08109898253732,0.0404814628392897,0.0648463301207926
"1568752_s_at",2.07603242328565,0.0405023369169437,0.0648673679339284
"220911_s_at",-2.07008605379371,0.04050188373065,0.0648673679339284
"241599_at",2.07204990169659,0.0405031051200917,0.0648673679339284
"230711_at",-2.07763352659991,0.0405275119510084,0.0649019115131686
"226732_at",2.07343764706352,0.0406310599704749,0.06506318033362
"223666_at",2.06925890311529,0.0406409658008141,0.0650744863029208
"226539_s_at",2.07061325826446,0.0406789970296195,0.065130822043363
"241815_at",-2.07324677416299,0.0406942399273431,0.0651506662329952
"1554241_at",-2.06799321746592,0.0407375935995906,0.0652140356694242
"204855_at",2.07229835956138,0.0407395246003088,0.0652140356694242
"201589_at",2.06751306270913,0.0407534721036487,0.0652317964033067
"218411_s_at",2.06697565845306,0.040777108628877,0.065265062239654
"223518_at",2.07180396227488,0.040782453338116,0.0652690488343396
"1564077_at",2.06677789465233,0.0407885134167988,0.0652741796824707
"225734_at",2.06660125752001,0.0407925255522943,0.0652760327022789
"218688_at",2.06628168473712,0.0408218749767775,0.0653184272524243
"244054_at",-2.06778303777507,0.0408495918766391,0.0653582038770629
"218919_at",2.06782762868112,0.0408602304458875,0.0653706519970232
"239851_at",2.06621528501848,0.0408753475763603,0.0653902629456743
"230082_at",2.06621071753228,0.0409082342386352,0.0654382959388395
"234495_at",2.06546937646281,0.0409508800553064,0.0655019322188318
"217822_at",2.06634696391689,0.0409831527340708,0.0655489686711098
"213645_at",2.06587537109766,0.0410381348699774,0.0656323177955512
"209449_at",2.06374446319914,0.0410988623155935,0.0657248430989178
"238900_at",-2.07232336495351,0.0411065844176143,0.0657325958349069
"230051_at",-2.06570325586122,0.0411264570284184,0.0657597757281639
"241924_at",-2.06696097086723,0.0411324996703426,0.0657648397274004
"205461_at",2.06439459092401,0.0411370859261033,0.0657675746333437
"212325_at",-2.0629574914478,0.0411536377288302,0.0657894376386374
"213325_at",2.06290922463699,0.0411585653527893,0.0657927161262522
"223088_x_at",2.06288187276451,0.0411629296919972,0.065795093797594
"1554539_a_at",-2.06900673097029,0.0411901924225619,0.0658337965004227
"204984_at",2.06805652294978,0.0411929002151749,0.0658337965004227
"212544_at",2.06247734445396,0.0412039889173733,0.0658469168150602
"202610_s_at",2.06500473314638,0.0412303425232918,0.0658844279980215
"235947_at",2.06336251195235,0.0412600455278133,0.0659272857696562
"213315_x_at",-2.06180418733802,0.0412674979319881,0.0659345869571445
"206247_at",-2.06131011647173,0.0413014408598679,0.0659842090440223
"243249_at",-2.0606160365785,0.0413793737581381,0.066104098760032
"227230_s_at",2.06029704419654,0.0414253149135592,0.0661682464082343
"228054_at",2.06001376011773,0.0414252206508932,0.0661682464082343
"1556764_s_at",2.06217067422415,0.0414454672410488,0.0661958122636208
"235096_at",2.0596672454243,0.0414777031093134,0.066242672493715
"202855_s_at",-2.06070054947964,0.0415315146371301,0.0663239815481576
"232597_x_at",-2.05907562375321,0.0415806259724031,0.0663977737738345
"222819_at",2.06239368078846,0.0416244364548234,0.0664630916513168
"223632_s_at",2.06039466994911,0.0416447433801825,0.066486232537855
"237778_at",2.05843128193347,0.0416438862791415,0.066486232537855
"214135_at",2.05766617860362,0.0416562070919506,0.0664998922373942
"222840_at",-2.05828909044085,0.0417201019342614,0.066597245148081
"201952_at",-2.05698626483699,0.0417270896294359,0.0666037506857342
"211635_x_at",-2.06074996922972,0.0417374147053265,0.066611796322809
"212202_s_at",2.05686924706524,0.0417437807126585,0.066611796322809
"212243_at",-2.05682504908319,0.0417428356517789,0.066611796322809
"218248_at",2.05770567286001,0.0417422283228765,0.066611796322809
"226025_at",2.06186389202502,0.0417619756851213,0.0666361811148207
"202040_s_at",-2.05704616561069,0.0417958708047953,0.0666856122021536
"235509_at",2.05620220750375,0.0418314607212455,0.0667377402647286
"215921_at",2.05607323808114,0.0418412091841366,0.0667486365821153
"200950_at",2.05686949595944,0.0418550687437787,0.0667660892913594
"202634_at",2.05626049092589,0.0418952291961058,0.0668254911225373
"210793_s_at",2.05762555279882,0.0419015477054006,0.0668309084331203
"214973_x_at",-2.05673546576552,0.0419053751633066,0.0668323521607267
"204698_at",-2.05709122700519,0.0420118570096565,0.0669975015557385
"1552798_a_at",-2.05460168735941,0.0420238763891791,0.0670119964454418
"1569527_at",-2.05492611133005,0.0420606848155107,0.0670660155986006
"1554333_at",2.05322005218812,0.0420946071748754,0.0671140892274086
"217776_at",2.05343289517285,0.042099638131019,0.0671140892274086
"235646_at",-2.05907004870726,0.0420977291273211,0.0671140892274086
"222447_at",2.05417184390573,0.042120742535869,0.0671430530281817
"230333_at",-2.05345622610771,0.0421405043417891,0.0671651916019734
"242990_at",-2.05551549537802,0.0421392101759204,0.0671651916019734
"213471_at",-2.05295330920751,0.0421494299802839,0.0671747361427939
"229679_at",-2.05285250532463,0.042157196014852,0.0671824313887301
"211922_s_at",2.05321711401381,0.0422246971739295,0.0672853138494821
"212037_at",2.05339480911101,0.0422437653778598,0.0673110091403646
"225553_at",-2.05138547627012,0.0422711699944743,0.0673499831248174
"201817_at",2.05398425542555,0.0422866568381962,0.0673699646039392
"223712_at",2.05283406881872,0.0423457651395974,0.0674594349918217
