"","Term","Odds_ratio","p.value","p_adj"
"7974","GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE","1.71297326266164","1.29527814637658e-05",0.00127921171552249
"2783","GO_REGULATION_OF_CHROMOSOME_ORGANIZATION","0.24952548930325","1.32609140505798e-05",0.00128493253031609
"3717","GO_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS","0.350963783409216","1.32130802736654e-05",0.00128493253031609
"9162","GO_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","3.3453835583994","1.47866991901693e-05",0.00141938492880588
"15","GO_CELL_CYCLE_CHECKPOINT","0.152145147448389","1.58516163599807e-05",0.00150751807067928
"7751","GO_MICROTUBULE_ORGANIZING_CENTER","0.423944931888902","1.74626057558633e-05",0.00164549012585754
"8044","GO_GOLGI_CISTERNA","3.29588136856829","1.77966427416713e-05",0.00166172106908824
"1409","GO_EPIDERMAL_CELL_DIFFERENTIATION","2.75050636026127","1.82506450253532e-05",0.00168876013563426
"6976","GO_REGULATION_OF_HEMOPOIESIS","0.212498010503771","1.85289908757796e-05",0.00169920772576011
"912","GO_SODIUM_ION_TRANSPORT","3.07110577235987","1.89053661469425e-05",0.00170330715522146
"5319","GO_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS","0","1.88410030249687e-05",0.00170330715522146
"3487","GO_MECHANORECEPTOR_DIFFERENTIATION","5.11641516117526","1.92014941829224e-05",0.00171494388480692
"258","GO_EPITHELIAL_CELL_DEVELOPMENT","2.65468212965073","1.99026708399195e-05",0.00176224424307598
"5788","GO_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION","0.117091481894813","2.26447470675437e-05",0.00195689734976977
"6099","GO_NEGATIVE_REGULATION_OF_PEPTIDE_HORMONE_SECRETION","7.07094700252445","2.26353555051127e-05",0.00195689734976977
"6690","GO_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","0.30896532924538","2.26726496565673e-05",0.00195689734976977
"8663","GO_TRANSCRIPTION_COACTIVATOR_ACTIVITY","0.116422414180951","2.29604659326532e-05",0.00196522454661901
"4262","GO_INTRACELLULAR_TRANSPORT","0.6046754982163","2.48487623863874e-05",0.00210926973942632
"1776","GO_ORGANIC_ANION_TRANSPORT","2.01287432607207","2.51009635095174e-05",0.00211321308365781
"1773","GO_INORGANIC_ANION_TRANSPORT","3.09020628263594","2.61392215681236e-05",0.00218273125793657
"649","GO_ORGANIC_ACID_METABOLIC_PROCESS","1.58219401991761","2.75053116890549e-05",0.0022782827125668
"3375","GO_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC","0","2.79531015805637e-05",0.00227955897012247
"5320","GO_LUNG_SECRETORY_CELL_DIFFERENTIATION","21.1434701651961","2.81865435892857e-05",0.00227955897012247
"9009","GO_AXON_GUIDANCE_RECEPTOR_ACTIVITY","21.1434701651961","2.81865435892857e-05",0.00227955897012247
"92","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS","0.0691888291444787","2.88118116390866e-05",0.00231192279175827
"1909","GO_COVALENT_CHROMATIN_MODIFICATION","0.297097146608726","2.97758347469664e-05",0.00237075657896195
"1954","GO_PEPTIDYL_SERINE_MODIFICATION","0.190657384336408","3.02664298309789e-05",0.00238281018375365
"7561","GO_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION","0.068264029378614","3.03912115735302e-05",0.00238281018375365
"4569","GO_REGULATION_OF_CELL_ACTIVATION","0.243937613979575","3.07127925172889e-05",0.0023897809995839
"1923","GO_PROTEIN_IMPORT","0.121270218555008","3.291055614313e-05",0.00254153625673751
"3488","GO_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION","6.62702207078129","3.39356681315925e-05",0.00260114363716109
"844","GO_LIPID_METABOLIC_PROCESS","1.54045237618021","3.51229807510984e-05",0.00267220840958912
"915","GO_CHLORIDE_TRANSPORT","3.86957183337459","3.55246576948215e-05",0.00268289528811406
"9164","GO_CHLORIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","4.09129248201314","3.6804514451129e-05",0.00275926399947114
"624","GO_FUCOSE_METABOLIC_PROCESS","9.41274274723251","3.74445871535745e-05",0.00278690836706061
"940","GO_CELL_VOLUME_HOMEOSTASIS","12.344511725929","3.91456307421949e-05",0.00289255232628118
"1405","GO_REGULATION_OF_CATABOLIC_PROCESS","0.489721255158255","3.9906366923226e-05",0.00292770210477467
"2812","GO_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT","0.196193010819325","4.28325043924067e-05",0.00312008973485397
"6283","GO_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT","3.78335796512176","4.43281456980871e-05",0.00320629848214826
"615","GO_CARBOHYDRATE_METABOLIC_PROCESS","1.84888979603728","4.5801136506642e-05",0.00328967463678126
